TimeDeath     ID      Tj      Df      Dd      Db
592     2298     130     11     451     462     AS
592     2581     233     68     291     359     AS
592     2500     210     0     382     382     AD
593     2878     358     28     207     235     AS
595     2990     393     31     171     202     AS
596     2901     365     29     202     231     AS
597     2464     191     17     389     406     AS
598     2986     393     0     205     205     AD
599     2840     333     61     205     266     AD
601     2740     298     25     278     303     AS
603     2521     216     114     273     387     AS
603     2621     253     41     309     350     AD
604     2543     223     62     319     381     AS
604     2985     393     90     121     211     AS
604     2536     223     32     349     381     AD
604     2727     293     0     311     311     AD
605     2540     223     32     350     382     AD
606     2640     268     21     317     338     AS
608     2945     377     30     201     231     AS
608     2951     377     61     170     231     AS
608     2735     297     0     311     311     AD
609     2813     322     57     230     287     AS
609     2965     381     119     109     228     AS
609     2480     199     65     345     410     AD
610     2694     277     25     308     333     AS
610     2874     358     28     224     252     AS
610     2633     267     39     304     343     AD
611     2562     230     74     307     381     AD
611     981     347     0     264     264     ET
613     2644     268     45     300     345     AS
613     2789     314     55     244     299     AS
613     2790     314     85     214     299     AS
613     2419     175     56     382     438     AD
614     2924     374     91     149     240     AS
614     2929     375     30     209     239     AS
615     2864     349     28     238     266     AS
616     2971     385     142     89     231     AS
617     2979     387     31     199     230     AS
618     2989     393     90     135     225     AS
618     2897     365     60     193     253     AS
619     2948     377     0     242     242     AD
620     2791     314     85     221     306     AS
620     2716     290     24     306     330     AS
620     2855     342     28     250     278     AS
621     2952     379     70     172     242     AD
622     2681     276     50     296     346     AS
622     2381     156     0     466     466     AD
623     2984     393     61     169     230     AS
623     2689     277     0     346     346     AD
624     2911     367     29     228     257     AS
624     2782     313     27     284     311     AS
624     2926     374     30     220     250     AS
625     2670     273     23     329     352     AS
625     2957     379     61     185     246     AS
626     2972     385     217     24     241     AS
626     2447     183     95     348     443     AS
626     2704     287     43     296     339     AD
627     2845     333     57     237     294     AS
628     2931     375     30     223     253     AS
628     2746     299     144     185     329     AS
628     2884     359     90     179     269     AS
629     2550     224     19     386     405     AS
629     2421     175     192     262     454     AS
630     2626     262     190     178     368     AS
630     2995     394     31     205     236     AS
630     2658     272     75     283     358     AS
631     2959     379     212     40     252     AS
633     2885     359     60     214     274     AS
633     2558     226     74     333     407     AD
634     2570     232     36     366     402     AD
635     2872     358     177     100     277     AD
638     2591     235     0     403     403     AD
